Category,model_init.pth,epoch_1.pth,epoch_4.pth,epoch_7.pth,epoch_10.pth,epoch_13.pth,epoch_16.pth,epoch_19.pth,epoch_22.pth,epoch_25.pth,epoch_28.pth,epoch_31.pth,epoch_34.pth,epoch_37.pth,epoch_40.pth,model_fin.pth
AnnualCrop,0.0,64.33333333333333,59.666666666666664,68.0,63.666666666666664,71.0,67.0,67.0,70.33333333333333,72.0,74.0,68.0,68.33333333333333,71.33333333333333,66.66666666666667,66.66666666666667
Forest,0.0,5.666666666666667,90.0,90.66666666666667,88.33333333333333,86.66666666666667,89.33333333333333,90.33333333333333,89.0,87.0,86.66666666666667,89.0,83.66666666666667,88.0,88.0,88.0
HerbaceousVegetation,0.6666666666666666,5.666666666666667,21.0,33.666666666666664,39.333333333333336,43.333333333333336,40.0,39.666666666666664,39.0,45.333333333333336,49.666666666666664,51.0,51.333333333333336,54.666666666666664,47.666666666666664,47.666666666666664
Highway,0.0,33.2,32.0,27.6,24.0,24.0,32.4,31.6,30.0,31.2,23.6,30.0,30.0,28.0,31.6,31.6
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasture,23.5,8.5,19.0,21.0,31.5,34.5,34.5,43.5,53.0,51.0,57.0,46.5,64.0,52.0,55.0,55.0
PermanentCrop,0.0,36.4,43.6,40.0,48.8,34.8,44.4,47.2,43.6,38.0,31.2,38.0,43.2,33.6,40.8,40.8
Residential,0.0,90.0,86.0,87.0,88.66666666666667,83.0,88.33333333333333,88.66666666666667,91.33333333333333,91.0,95.0,93.66666666666667,84.0,94.33333333333333,91.0,91.0
River,0.0,40.0,31.2,33.6,29.6,31.2,35.2,36.0,33.6,32.4,33.6,36.4,30.0,33.6,34.4,34.4
SeaLake,93.66666666666667,81.0,82.66666666666667,85.33333333333333,89.0,90.66666666666667,89.33333333333333,85.33333333333333,91.0,91.0,88.0,90.66666666666667,88.66666666666667,89.33333333333333,90.66666666666667,90.66666666666667
